Brand Name,Products,Description,Website,Sentiment_Scores,Compound,Sentiment,Language
0039 Italy,['Womenswear'],"BRAND: 0039 Italy DESCRIPTION: When a German label manages to free its blouses from its conservative stereotype image, then it is somewhat surprising. When this brand has succeeded for many years to inspire with its collections, then this is no longer a surprise success, but rather a constant success story. This is the story of 0039 Italy.

A story, which began in the year 2000 during a trip to Italy. From a simple beach blouse designed out of necessity, it soon became more inspired. It even managed to have a 12 sq. m stand at the Paris trade fair with the first collection in 2001. Today 0039 Italy’s clothes adorn stores in over 50 countries worldwide. What makes 0039 Italy different to other labels? The answer is as easy as it is plausible. The brand remains true to itself and to its roots – blouses were, are and remain the centrepiece of every collection.

Instead of losing itself in a wide, exchangeable range, it prefers to play and coquet with colours, patterns and even forms. The result? Endearing details, unusual creative designs and all of this always of a surprising, sophisticated quality made in Europe. 0039 Italy’s customers appreciate the brand’s richness of the facets with blouses and other parts for every occasion, every shape and every age. Classical. Fashionable. Sober. Or multi-coloured and typically Mediterranean. Even the name is as untypically German as the parts. But why should everything always be fabric softened and fitted? The fact is that no woman can misdial with the stylish Italian area code in her luggage…

Wholesale
E: info@0039italy.com

Photo credit: 0039 Italy",http://www.0039italy.com,"{'neg': 0.031, 'neu': 0.772, 'pos': 0.197, 'compound': 0.9942}",0.9942,Positive,en
05 Studio,"['Swimwear', 'Bodywear']","BRAND: 05 Studio DESCRIPTION: We do basics that are not boring! 05 Studio aims to deliver thoughtfully designed pieces that serve as a great foundation for every modern woman’s wardrobe, transcending time and trends. Simple, yet modern, our products enhance your natural shape and curves, fit your personality and move effortlessly with your body throughout the day. 

Proudly designed and made in Bulgaria, we work with local seamstresses and small independent ateliers and we actively participate in the process with handwork for every single piece of the collection. We carefully source our fabrics and materials, using deadstock fabrics when possible in order to reduce the enormous waste in the fashion industry. Wholesale
E: sales@the05studio.com

Photo credit: 05 Studio",https://www.the05studio.com,"{'neg': 0.021, 'neu': 0.799, 'pos': 0.18, 'compound': 0.9599}",0.9599,Positive,en
0711,['Bags'],"BRAND: 0711 DESCRIPTION: Brand 0711 was founded in 2012 by Nino Eliava and Ana Mokia. Girls have met in childhood during holidays in Mexico, and the idea of the joint project came many years later when they were studying and working in London. Nino and Ana got an education in sphere of business and management, now harmoniously sharing the responsibilities - Nino is behind the creative process, while business growth is up to Ani. The idea of 0711 creation (by the way, these are girls’ favorite digits) appeared in parallel with an online project MORE is LOVE.

Each 0711 hand-woven product is created manually by artisans in Georgia. The artisans are elderly women for whom knitting is a very native and favorite craftsmanship passed from ancestors. Innovative knitting technique in organic glass and plywood frames were adopted in 2015 for the most popular style ‘Copacabana’. Today among the brand’s top models are also ‘St. Barts’ and ‘St. Tropez’. Improvising with traditional weaving and shapes, 0711 introduced pearl beaded bags with various models from bucket to tote bags, mixing it with the brand’s multicolor plywood and plexiglass frames.

AW18 proclaimed a new era for the brand presenting ‘Bea’ - the  rst style in leather inspired by the key model ‘Copacabana’ as well. The production of leather styles is also based in Georgia, but from high-quality French calfskin. Today, the main face of the brand is the tote bag ‘Nino’ which was presented after the huge pearl styles success. ‘Nino’, decorated with pearl handles, is available now in all kinds of fabrics,
sizes and colors (and can be even customized). Also the audience’s favorite one is delicious ‘Shu’.

Wholesale
E: 0711@moreislove.com
P: +995 32 2 404040

Photo credit: 0711",http://0711tbilisi.com,"{'neg': 0.0, 'neu': 0.841, 'pos': 0.159, 'compound': 0.9914}",0.9914,Positive,en
10Days,"['Womenswear', 'Menswear', 'Accessories']","BRAND: 10Days DESCRIPTION: 10DAYS is an Amsterdam based lifestyle brand that creates timeless ready-to-wear, footwear, accessories and home items. The brand was founded in 2007 by two creative and free-spirited women, and that’s why freedom is in the root of everything we do. We don’t believe in rules. We don’t believe in trends. And we don’t believe in fast fashion.

We want people to be free to be whoever they are. That’s the reason why we create clothes that feel like a second skin. Clothes that give you comfort and make you feel good. Clothes that empower you to be who you really are. OUR PHILOSOPHY
Freedom. Freedom of combining, of expressing your true self. Freedom in ages, freedom in fit, freedom in seasons. Just do whatever you FEEL. Don’t let rules dictate what you wear.

Attention to detail. We design our garments with great love and eye for detail. Taking care of every step of the design and production process to ensure that all our items are made with the highest quality standards.

Wholesale
E: online@10days.nl

Photo credit: 10DAYS",https://www.10dayslifestyle.nl,"{'neg': 0.0, 'neu': 0.703, 'pos': 0.297, 'compound': 0.9964}",0.9964,Positive,en
11 Degrees,"['Womenswear', 'Menswear', 'Kidswear', 'Accessories']","BRAND: 11 Degrees DESCRIPTION: Here at 11 Degrees we use higher quality materials and production techniques because we're all about comfort.

For us comfort is not about being lazy...far from it. Just ask our founder Andy about the hustle it took to get the brand this far.
We design streetwear by instinct. We stay true to who we are. We partner with the hottest talent in sport & music. Check out the range and turn it up to 11 Wholesale
E: wholesale@11degrees.com

Photo credit: 11 degrees",https://www.11degrees.eu/,"{'neg': 0.0, 'neu': 0.858, 'pos': 0.142, 'compound': 0.9042}",0.9042,Positive,en
1979 SWIMWEAR,['Swimwear'],"BRAND: 1979 SWIMWEAR DESCRIPTION: OUR MISSION & WHAT MATTERS TO US

WE LOVE CURVES 
We love quality and attention to detail. Our swimwear caters to an unusually broad size range from petite to large sizes. We create great fitting, flattering one pieces and bikinis especially for the curvier and large sizes. Many of our Forties and Fifties- inspired, however timelessly elegant styles unfold their full Wow-factor in curvy figures especially. LONG LASTING QUALITY & TIMELESS LOOK

We want your swimwear to last you many years, so only highest quality, certified fabrics and notions sourced from within the EU are chosen for our swimwear. 1979 SWIM offers its classic swim collection all year round. Just like Levi´s has their 501-Jeans, we have our high waist bikinis and classic swimsuits that are part of the permanent collection. We place a high importance on our patterns and the ideal fit for each body size.

Each style is always made in black fabric as well as additional permanent and seasonal colors. Every year new features or variations are developed and introduced to the line, based on customer requests and wishes that are received throughout the year. We developed a Long-Torso Swimsuit and are working on some interesting new styles for next summer.

SUSTAINABLE, ECO-CONSCIOUS & TRANSPARENT

Our fabrics and notions come from our long time partner in France and every part down to the smallest hook and slider is Oeko Tex Standard 100 certified. Our collection is designed in Berlin where small editions and custom orders are also directly made. Our regular basics are sewn only 2 hours away with the help of a family run manufactory in the neighboring Poland. Editions are kept small to ensure the best quality and to avoid an over-production. From day one, transparency and a sustainable way or working have naturally been part of 1979´s core values.

Wholesale 

P: +49 177 23 29 650
E: info@1-9-7-9.com

Photo credit: 1979 SWIMWEAR",https://1-9-7-9.com,"{'neg': 0.006, 'neu': 0.826, 'pos': 0.167, 'compound': 0.9946}",0.9946,Positive,en
1 minute to 12,,"BRAND: 1 minute to 12 DESCRIPTION: „1 minute to 12“ was created by three people with a passion for life and fashion. The philosophy of „1 minute to 12“  is to turn the world view and the imagination of its creators into unique examples of modern fashion pieces. Aiming to bring out the women femininity, the dynamic of their life and the unparalleled style of our modern times, „1 minute to 12“ tries to attract ladies who want to be active and trendy throughout the day, comfortable and confident at the same time.

„1 minute to 12“ is small, but we want to act big and impress! Be inspired and choose the outfit that matches your personality, because it‘s „1 minute to 12“ already!  

Wholesale
P: +359886333666
E: info@1to12.eu

Photo credit: 1 minute to 12",https://1to12.eu,"{'neg': 0.0, 'neu': 0.811, 'pos': 0.189, 'compound': 0.9715}",0.9715,Positive,en
1 People,"['Womenswear', 'Bodywear', 'Sportswear', 'Swimwear', 'Footwear', 'Eyewear', 'Bags', 'Accessories', 'Sustainable']","BRAND: 1 People DESCRIPTION: 1 People
is a Danish sustainable luxury brand that designs effortlessly timeless looks for conscious-minded women so that they can stay stylish in an ethical, high-quality fashion. Minimalism is at the heart of 1 People and in our Danish DNA,
that’s why all of our products are meticulously handcrafted by our artisans, offering simplicity and versatility, whilst providing a sustainable solution for women wanting more from their wardrobe.

We are People and Planet driven and produce sustainable lifestyle essentials that are safe and comfortable to wear throughout the day. At the same time, we always set a price that is fair for you, us and our artisans.

Transparency is of primary importance to us. Therefore, we equip our products with sufficient information to make you well-informed. On top of that, we build our customer service around convenience and dedication as we want you to have the best experience when shopping online.

Wholesale
E: support@1people.com

Photo credit: 1 People",https://1people.com,"{'neg': 0.0, 'neu': 0.845, 'pos': 0.155, 'compound': 0.9735}",0.9735,Positive,en
209 MARE,"['Menswear', 'Womenswear', 'Swimwear']","BRAND: 209 MARE DESCRIPTION: 209 Mare is the embodiment of the lifestyle on the French Riviera. Chic, yet casual with timeless designs and colors that above all stand out due to the quality of the fabrics and trims. Terry towel is at the core of every collection, the in demand fabric that has become highly sought after in recent years by the likes of 209 Mare and its famous Beach Blazer, is now present in other closet essentials like sweatpants, polos and sweaters. 209 Mare has moved into loungewear and is combining the comfort of clothes that can be worn at home along with sophisticated tailoring. Breaking the rules in style. Wholesale
E: Federico.uribe@209mare.com

Photo credit: 209 Mare",https://209mare.com,"{'neg': 0.028, 'neu': 0.835, 'pos': 0.137, 'compound': 0.9217}",0.9217,Positive,en
22fashion,,BRAND: 22fashion DESCRIPTION: Since 2005 I am known for my unique taste & feeling for todays fashion. To distribute high quality and great design I travel Europe to find manufactures to add to our collection. Photo credit: 22fashion,http://www.22-fashion.com,"{'neg': 0.0, 'neu': 0.796, 'pos': 0.204, 'compound': 0.802}",0.802,Positive,en
