,Brand,Afghanistan,Albania,Algeria,American Samoa,Andorra,Angola,Anguilla,Antarctica,Antigua & Barbuda,Argentina,Armenia,Aruba,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bosnia & Herzegovina,Botswana,Bouvet Island,Brazil,British Indian Ocean Territory,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Caribbean Netherlands,Cayman Islands,Central African Republic,Chad,Chile,China,Christmas Island,Cocos (Keeling) Islands,Colombia,Comoros,Congo - Brazzaville,Congo - Kinshasa,Cook Islands,Costa Rica,Croatia,Cuba,Curaçao,Cyprus,Czechia,Côte d’Ivoire,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Falkland Islands (Islas Malvinas),Faroe Islands,Fiji,Finland,France,French Guiana,French Polynesia,French Southern Territories,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guadeloupe,Guam,Guatemala,Guernsey,Guinea,Guinea-Bissau,Guyana,Haiti,Heard & McDonald Islands,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jersey,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Martinique,Mauritania,Mauritius,Mayotte,Mexico,Micronesia,Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar (Burma),Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,Niue,Norfolk Island,North Korea,North Macedonia,Northern Mariana Islands,Norway,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Pitcairn Islands,Poland,Portugal,Puerto Rico,Qatar,Romania,Russia,Rwanda,Réunion,Samoa,San Marino,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Sint Maarten,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South Georgia & South Sandwich Islands,South Korea,South Sudan,Spain,Sri Lanka,St. Barthélemy,St. Helena,St. Kitts & Nevis,St. Lucia,St. Martin,St. Pierre & Miquelon,St. Vincent & Grenadines,Sudan,Suriname,Svalbard & Jan Mayen,Sweden,Switzerland,Syria,São Tomé & Príncipe,Taiwan,Tajikistan,Tanzania,Thailand,Timor-Leste,Togo,Tokelau,Tonga,Trinidad & Tobago,Tunisia,Turkmenistan,Turks & Caicos Islands,Tuvalu,Türkiye,U.S. Outlying Islands,U.S. Virgin Islands,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Uruguay,Uzbekistan,Vanuatu,Vatican City,Venezuela,Vietnam,Wallis & Futuna,Western Sahara,Yemen,Zambia,Zimbabwe,Åland Islands,2023 Brand Value in $,Products,Description,Website
0,NIKE,0,0,11,0,0,0,0,0,0,27,0,0,34,24,0,0,0,0,0,0,32,0,0,0,0,0,0,0,0,31,0,0,0,36,0,0,0,0,27,0,0,0,0,0,52,0,0,0,20,0,0,0,0,25,31,0,0,0,43,0,38,0,0,0,16,5,0,0,0,0,0,0,0,0,0,20,43,0,0,0,0,0,0,33,0,0,51,0,0,0,0,18,0,0,0,0,0,0,0,28,40,0,8,10,1,0,45,0,12,31,0,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,19,0,0,0,0,0,49,0,29,0,0,0,0,0,0,0,0,25,0,6,0,0,0,0,0,28,23,0,49,36,0,0,52,6,0,0,0,0,5,0,38,0,0,28,0,100,0,0,0,46,0,8,0,40,0,0,0,0,0,0,0,0,0,0,0,26,23,0,0,16,0,0,13,0,0,0,0,0,22,0,0,0,24,0,0,0,14,20,50,36,26,0,0,0,11,10,0,0,0,0,0,0,$42.5B,['Sportswear'],"Our mission is what drives us to do everything possible to expand human potential. We do that by creating groundbreaking sport innovations, by making our products more sustainably, by building a creative and diverse global team and by making a positive impact in communities where we live and work. Based in Beaverton, Oregon, NIKE, Inc. includes the Nike, Converse, and Jordan brands.

Wholesale
E: media.europe@nike.com

Photo credit: nike",http://nike.com
1,POLO RALPH LAUREN,0,0,0,0,0,0,0,0,0,3,0,0,27,25,0,0,0,0,0,0,23,0,0,0,0,0,0,0,0,6,0,0,0,12,0,0,0,0,17,0,0,0,0,0,21,0,0,0,11,0,0,0,0,0,29,0,0,0,19,0,43,0,0,10,13,3,0,0,0,0,0,0,0,0,0,32,16,0,0,0,0,0,0,31,0,0,39,0,0,0,0,11,0,0,0,0,0,0,0,22,13,0,2,5,0,0,16,0,11,30,100,2,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,9,0,0,0,0,0,0,0,0,14,0,0,0,0,0,0,8,0,0,0,0,0,29,0,12,0,0,0,0,0,0,0,0,71,0,3,0,0,0,0,0,10,9,0,27,32,0,0,21,4,0,0,0,0,4,0,12,0,0,22,0,16,20,0,0,3,0,5,0,26,0,0,0,0,0,0,0,0,0,0,0,39,20,0,0,8,0,0,13,0,0,0,0,0,0,0,0,0,7,0,0,0,8,13,24,20,0,0,0,0,0,5,0,0,0,0,0,0,$4.7B,"['Accessories', 'Bags', 'Eyewear', 'Footwear', 'Jewelry', 'Kidswear', 'Menswear', 'Swimwear', 'Womenswear']","Ralph Lauren is a US-based designer and retailer of high-end men's, women's and children's apparel, accessories, fragrances and home furnishings to customers worldwide. Ralph Lauren was founded in 1967 as Polo Ralph Lauren by American designer Ralph Lauren. As of today, the brand operates brand stores and selling points across the globe. Photo credit: Ralph Lauren",https://www.poloralphlauren.com
2,THE NORTH FACE,0,0,0,0,0,0,0,0,0,25,0,0,29,43,0,0,0,0,0,0,61,0,0,0,0,0,0,0,0,15,0,0,0,44,0,0,0,0,41,0,0,0,0,0,92,0,0,0,9,0,0,0,0,0,26,0,0,0,69,0,83,0,0,0,0,5,0,0,0,0,0,0,0,0,0,29,93,0,0,0,0,0,0,69,0,0,90,0,0,0,0,0,0,0,0,0,0,0,0,94,54,0,4,10,0,0,58,0,27,68,0,16,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,41,0,0,0,0,16,0,0,0,0,0,0,0,0,31,0,0,0,0,0,0,14,0,0,0,0,0,71,0,28,0,0,0,0,0,0,0,0,35,0,6,0,0,0,0,0,23,10,0,100,43,0,0,76,15,0,0,0,0,5,0,38,0,0,28,0,61,0,0,0,19,0,13,0,55,0,0,0,0,0,0,0,0,0,0,0,37,62,0,0,49,0,0,22,0,0,0,0,0,0,0,0,0,31,0,0,0,32,12,49,26,0,0,0,0,0,12,0,0,0,0,0,0,$4.6B,"['Womenswear', 'Menswear', 'Accessories']","Founded by husband and wife Douglas and Susie Tompkins in 1966, acquired by Kenneth Klopp two years later and ultimately taken over by the VF Corporation in 2000, The North Face has specialized in technical mountaineering equipment and apparel including sleeping bags, hiking packs, tents, skiwear and high-performance outerwear, as well as performance apparel, footwear and equipment for explorers, climbers and endurance runners (among others). By the late 1990s, the notoriety of The North Face’s attire meant that its customer pool expanded beyond those merely looking for technical clothing and entered the lives of rappers and various other subcultural stylings; for instance, the North Face’s Tech Steep jacket featured in Wu-Tang’s Method Man music video in 1993.

That withstanding, the fashion and music scene remains only a small part of the company’s business, with it focusing more intently on creating advancements within outerwear and equipment for serious hikers and climbers.

Photo credit: The North Face",https://www.thenorthface.com
3,LOUIS VUITTON,0,0,23,0,0,0,0,0,0,9,0,0,66,79,0,0,0,0,0,0,71,0,0,0,0,0,0,0,0,22,0,0,0,27,0,0,0,0,48,0,0,0,0,0,21,0,0,0,22,0,0,0,0,0,40,0,0,0,34,0,71,0,0,24,0,11,0,0,0,0,0,0,0,0,0,36,100,0,0,0,0,0,0,71,0,0,57,0,0,0,0,0,0,0,0,0,0,0,0,42,31,0,12,9,0,0,42,0,24,97,0,5,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30,0,0,0,0,0,0,0,0,36,0,0,0,0,0,0,56,0,0,0,0,0,64,0,52,0,0,17,0,0,0,0,0,51,0,14,0,0,0,0,0,18,26,0,23,58,0,0,42,9,0,0,0,0,14,0,27,0,0,85,0,34,0,0,0,39,0,12,0,47,0,0,0,0,0,0,0,0,0,0,0,46,96,0,0,10,0,0,29,0,0,0,0,0,35,0,0,0,21,0,0,0,10,78,56,73,0,0,0,0,0,16,0,0,0,0,0,0,$36.4B,"['Womenswear', 'Menswear', 'Accessories']","LOUIS VUITTON ist seit über 160 Jahren eine der führenden Luxusmarken für Lederwaren und Reisegepäck. Prestige, innovatives Design und höchste Qualität prägen unsere Produktphilosophie. Heute präsentieren wir neben Lederwaren und Accessoires auch Mode- und Schuhkollllektionen sowie Uhren und Schmuck. Photo credit: Louis Vuitton",http://www.louisvuitton.com
4,UNIQLO,0,0,0,0,0,0,0,0,0,2,0,0,42,7,0,0,0,0,0,0,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,38,0,0,0,0,0,0,13,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,2,17,0,0,13,0,6,10,0,19,0,0,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,40,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,21,0,11,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,26,0,5,7,0,0,2,2,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,4,0,13,0,0,0,0,0,0,0,0,0,0,0,17,12,0,0,71,0,0,26,0,0,0,0,0,0,0,0,0,1,0,0,0,2,7,28,8,0,0,0,0,0,15,0,0,0,0,0,0,$9.4B,,"Uniqlo is a modern Japanese company that inspires the world to dress casually.
Uniqlo has enjoyed strong growth by offering high-quality casual wear at reasonable prices based on its SPA (Specialty Store Retailer of Private Label Apparel) business model, which spans product design, manufacture, distribution and retail.
The first Uniqlo store opened in 1984 in Japan. Uniqlo now has more than 1700 stores and worldwide operations, including the U.K., China, Hong Kong, South Korea, the United States, France, Singapore, Russia, Taiwan, Malaysia, Thailand, Germany, Belgium and Australia.
Part of the Fast Retailing group, Uniqlo is truly determined to achieve the goals in the group's mission statement: ""Changing clothes. Changing conventional wisdom. Change the world."" and to become the #1 Retail Apparel Group in the world.",http://www.uniqlo.com/
5,COACH,0,0,0,0,0,0,0,0,0,4,0,0,52,13,0,0,0,14,0,0,25,0,0,0,0,0,0,0,0,6,0,0,0,0,0,0,0,0,61,0,0,0,0,0,8,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,14,0,0,0,0,7,0,0,0,0,0,0,0,0,0,10,24,0,0,0,0,0,0,13,44,0,13,0,0,0,0,0,0,0,0,0,0,0,0,25,10,0,36,12,2,0,58,0,0,9,0,7,0,0,0,100,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,15,0,0,0,0,0,31,0,42,0,0,43,0,0,0,0,0,12,0,17,0,0,0,0,0,8,27,0,7,17,69,0,10,4,0,0,0,0,10,0,0,0,0,65,0,0,0,0,0,42,0,13,0,9,0,0,0,0,0,0,0,0,0,0,0,13,21,0,0,20,0,56,15,0,0,0,0,0,0,0,0,0,4,0,0,0,5,33,65,86,0,0,0,0,0,11,0,0,0,0,0,0,$5.5B,"['Womenswear', 'Menswear', 'Bags', 'Footwear', 'Accessoires']","Coach is a global fashion house founded in New York in 1941. Inspired by the vision of Creative Director Stuart Vevers and the inclusive and courageous spirit of our hometown, we make beautiful things, crafted to last—for you to be yourself in. Coach began with a dream to hand-craft leather into beautiful, clever, practical things. Founded in New York in 1941 by six artisans, the house grew under the vision of Lillian and Miles Cahn to become the Original American House of Leather.

Then came Bonnie Cashin: hired by Miles Cahn in 1962 to be Coach’s first lead designer. With Bonnie’s fearless vision of color, proportion and quirk—and her love of doing—Coach transformed into the perfect reflection of modern freedom and equality, the attitude of 60s New York.

In the decades that followed, Coach opened its first store on Madison Avenue and transformed from a family-run leathergoods company into a fashion house known around the world for its distinct attitude and lifestyle collections inspired by New York.

Today, as in 1941, we are shaped by our unique story—and committed, in everything we do, to celebrating craft, our hometown and the optimism of authentic American style.

Wholesale
E: 

Photo credit: Coach",https://uk.coach.com
6,BURBERRY,0,0,22,0,0,0,0,0,0,11,0,0,65,47,45,0,0,8,0,0,49,0,0,0,0,0,0,0,0,19,0,0,0,36,0,0,0,0,56,0,0,0,0,0,41,0,0,0,18,0,0,0,0,0,35,0,0,0,40,0,58,0,0,0,0,14,0,0,0,0,0,0,0,0,0,38,55,0,0,0,0,0,0,51,0,0,63,0,0,0,0,0,0,0,0,0,0,0,0,87,29,0,18,9,3,0,39,0,23,59,0,11,0,0,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34,0,0,0,0,0,0,0,0,51,0,0,0,0,0,0,48,0,0,0,0,0,71,0,37,0,0,12,0,0,0,0,0,71,0,15,0,0,0,0,0,12,23,0,38,50,0,0,54,16,0,0,0,0,12,0,41,0,0,79,0,31,0,0,0,41,0,18,0,34,0,0,0,0,0,0,0,0,0,0,0,75,55,0,0,57,0,0,28,0,0,0,0,0,39,0,0,0,46,0,0,0,19,61,100,63,0,0,0,0,0,36,0,0,0,0,0,0,$5.2B,"['Womenswear', 'Menswear', 'Accessories']","Burberry is a British luxury brand, headquartered in London.

Since being founded in 1856, Burberry has been guided by the core belief that Creativity Opens Spaces. From developing outerwear that allowed daring men and women to surpass the limits of human endeavour to being a luxury pioneer in the digital space, our purpose is to unlock the power of imagination to push boundaries and open new possibilities for our people, our customers and our communities. Thomas Burberry was just 21 years old when he founded his outfitting business in Basingstoke, England. However, it was in 1879 that he secured his legacy as a visionary and innovator with his invention of gabardine. Before the advent of the fabric, outerwear worn to protect against the often inclement British weather tended to be made from rubber, oil and wax. After hearing from a doctor that it was better to get wet through rather than stay dry in such clothing as it was odorous, hot and believed to induce ill-health, Thomas Burberry set out to create a breathable and weatherproof alternative. His invention, gabardine, revolutionised rainwear. The open spaces in the weave of the fabric allowed airflow and made for lightweight and comfortable garments. 

Such was the fabric’s reputation that in 1893 Norwegian polar explorer, zoologist and recipient of the Nobel Peace Prize, Dr Fridtjof Nansen, took Burberry gabardine with him when he set sail bound for the Arctic Circle. Many more explorers and adventurers turned to Burberry gabardine in the years that followed. Gabardine is still used in the manufacture of Burberry Heritage Trench Coats today. 

Affectionately known as “Old Tom”, Thomas Burberry was described by his employees as “the kindest of chiefs”. During his lifetime he devoted significant time to humanitarian causes and gave generously to local charities. He was considered to have been thoughtful and ambitious, and was said to have conducted his career through “straightforward dealings and sound principles”. 

He retired in 1917 but remained on the Board of Burberrys Ltd until his death in 1926 at the age of 90. 
Photo credit: Burberry",http://www.burberryplc.com
7,URBAN OUTFITTERS,0,0,0,0,0,0,0,0,0,4,0,0,11,20,0,0,0,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9,12,0,0,0,0,0,0,35,0,0,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,10,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,34,0,11,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,12,7,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,0,15,0,0,0,0,0,0,0,0,0,0,0,22,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,14,100,62,0,0,0,0,0,0,0,0,0,0,0,0,$2B,,"Urban Outfitters is an American multinational fashion company. The company was founded in 1970 and manages five separate brands, including its namesake, Anthropologie, Free People, Terrain, and BHLDN; together, the brands operate several hundred stores worldwide.",http://urbn.com/
8,ALDO,0,54,5,0,0,0,0,0,0,22,0,0,7,6,0,0,0,0,0,0,11,0,0,0,0,20,0,0,0,12,0,0,0,0,0,0,0,0,42,0,0,0,0,0,30,0,0,0,7,0,0,0,0,11,34,44,0,24,8,0,5,0,0,11,12,4,0,0,0,0,0,0,0,0,0,0,11,0,0,0,0,0,0,5,0,0,3,0,0,0,0,22,0,0,0,0,0,0,0,0,5,0,6,7,2,0,10,0,9,100,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,16,0,0,0,0,5,0,0,0,0,0,0,0,0,28,0,0,0,0,0,0,13,0,0,0,0,0,5,0,0,0,0,2,0,0,0,0,0,0,0,7,0,0,16,0,32,37,8,0,5,34,19,27,17,1,0,0,0,0,7,0,9,0,0,12,0,8,0,0,0,25,0,2,0,9,0,0,0,0,0,0,0,0,0,0,0,5,15,0,0,2,0,0,2,0,0,0,0,46,19,0,0,0,6,0,0,0,0,30,10,11,35,0,0,0,6,5,0,0,0,0,0,0,$1B,"['Accessories', 'Footwear']","Aldo is the worldwide destination for on-trend fashion footwear and accessories at accessible prices. Positive, authentic, and bursting with personality, Aldo is the lifestyle brand for people stepping up in the world. Aldo adopts a locally-minded approach to customer service, store design and merchandising to ensure a unique experience in each location. But no matter where you are in the world, there is no mistaking an Aldo store. Store concepts all have a common thread - they are always modern and fun with a positive, cosmopolitan atmosphere. These concepts are constantly evolving to ensure a fresh, surprising and enjoyable experience for our customer with additional concept destination stores in key high-profile markets like Times Square in New York City.

Aldo is the first and only Canadian retailer to achieve major market penetration in the United States. There are Aldo stores in over 100 countries, making it the world’s leading fashion footwear brand in terms of global reach.

Photo credit: The Aldo Group",https://www.aldogroup.com
9,OAKLEY,0,0,0,0,0,0,0,0,0,8,0,0,58,35,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,70,0,0,0,0,0,0,0,0,46,0,0,0,0,0,40,0,0,0,20,0,0,0,0,0,0,0,0,0,27,0,45,0,0,0,12,0,0,0,0,0,0,0,0,0,0,36,24,0,0,0,0,0,0,22,0,0,25,0,0,0,0,0,0,0,0,0,0,0,0,20,31,0,3,3,0,0,25,0,9,28,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,0,25,0,50,0,0,0,0,0,0,0,0,100,0,0,0,0,0,0,0,19,14,0,14,22,60,0,9,5,0,0,0,0,0,0,0,0,0,37,0,22,0,0,0,17,0,10,0,27,0,0,0,0,0,0,0,0,0,0,0,30,36,0,0,8,0,0,10,0,0,0,0,0,0,0,0,0,3,0,0,0,6,17,54,53,0,0,0,0,7,3,0,0,0,0,0,0,$1B,"['Menswear', 'Sportswear', 'Eyewear', 'Accessories']","Oakley, Inc. is a sport and lifestyle brand that sets itself apart from the rest by pushing the boundaries of performance. Building on its legacy of innovative, market-leading optical technology, the company manufactures and distributes high performance sunglasses, prescription lenses and frames, goggles, apparel, footwear, and accessories.  

The essence of the brand is communicated through professional and amateur athletes who depend on Oakley products to provide them with the very best while they redefine what is physically possible.

Wholesale
P: 800 403 7449
E: customercare@oakley.com

Photo credit: Oakley",https://www.oakley.com
